               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,            0.051007,             0.37725,                   0,             0.99725,             0.98573,             0.99477,             0.75757,            0.049461,             0.32411,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.052438,             0.39277,                   0,             0.99741,             0.98617,              0.9948,             0.76521,            0.049232,             0.31889,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.050976,             0.36852,                   0,             0.99764,             0.98698,             0.99483,             0.75258,            0.049808,             0.32991,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.052432,             0.37837,                   0,             0.99738,             0.98539,             0.99469,             0.75508,            0.049645,              0.3211,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.051108,             0.36882,                   0,             0.99725,               0.986,             0.99479,             0.75054,            0.050008,             0.32844,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.050155,              0.3683,                   0,             0.99753,             0.98652,             0.99483,             0.76165,            0.049172,             0.31824,                   0,            0.002806,            0.002806,            0.002806
                 111,             0.05266,             0.38063,                   0,             0.99762,             0.98727,             0.99482,             0.75317,            0.049829,             0.32884,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.052295,             0.38292,                   0,             0.99775,             0.98682,             0.99481,             0.75846,            0.049573,              0.3259,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.051237,             0.36506,                   0,             0.99767,             0.98578,             0.99473,              0.7643,            0.049248,             0.31718,                   0,            0.002608,            0.002608,            0.002608
                 114,             0.05099,             0.37104,                   0,             0.99792,             0.98572,             0.99472,             0.76105,            0.049397,             0.32286,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.051473,             0.37243,                   0,             0.99803,             0.98494,             0.99458,                0.76,            0.049526,             0.32418,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.051761,             0.37375,                   0,             0.99784,             0.98706,             0.99485,             0.76383,            0.049264,             0.31919,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.052712,             0.38011,                   0,             0.99758,             0.98649,             0.99485,              0.7608,            0.049245,              0.3177,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.052019,             0.37688,                   0,             0.99768,             0.98776,             0.99488,             0.76776,            0.048863,             0.31462,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.052327,             0.37522,                   0,              0.9977,             0.98775,              0.9949,             0.75857,            0.049422,             0.32574,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.051469,             0.36664,                   0,             0.99781,             0.98769,             0.99487,             0.75924,            0.049366,             0.31889,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.051076,             0.36869,                   0,             0.99794,             0.98769,             0.99489,             0.76065,            0.049165,             0.32239,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.051406,             0.36814,                   0,             0.99784,             0.98681,             0.99483,             0.75944,            0.049202,             0.32346,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.050344,             0.37455,                   0,             0.99806,             0.98782,             0.99488,             0.75998,            0.049254,              0.3211,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.050052,             0.36173,                   0,             0.99771,              0.9875,             0.99486,             0.76821,            0.048885,             0.31801,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.050995,             0.37039,                   0,             0.99778,             0.98727,             0.99485,             0.76177,            0.049186,             0.32202,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.051212,             0.37456,                   0,             0.99791,             0.98732,             0.99487,             0.76986,            0.048801,              0.3154,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.050922,             0.37972,                   0,             0.99801,             0.98674,             0.99485,             0.76544,            0.048966,             0.31855,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.052117,             0.37659,                   0,             0.99768,             0.98655,             0.99483,              0.7654,            0.048964,             0.31718,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.051358,             0.37349,                   0,             0.99795,             0.98594,             0.99479,             0.76329,            0.049027,             0.32117,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.051784,               0.378,                   0,             0.99761,             0.98649,             0.99482,             0.76555,             0.04893,             0.31995,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.051172,             0.37811,                   0,             0.99784,             0.98711,             0.99484,             0.76471,            0.048921,             0.32009,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.050875,             0.37384,                   0,             0.99809,             0.98749,             0.99485,             0.76643,            0.048895,             0.32093,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.050806,             0.36796,                   0,             0.99765,             0.98666,             0.99478,             0.76941,            0.048795,             0.31741,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.051293,             0.36612,                   0,             0.99767,             0.98675,             0.99486,             0.77214,            0.048655,             0.31551,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.050676,             0.36157,                   0,             0.99775,             0.98769,              0.9949,             0.77066,            0.048638,             0.31506,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.051047,             0.36751,                   0,             0.99782,             0.98753,             0.99488,             0.76645,            0.048926,             0.32227,                   0,             0.00109,             0.00109,             0.00109
                 137,             0.05212,             0.37945,                   0,             0.99778,             0.98777,             0.99491,             0.77098,            0.048682,               0.315,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.050913,             0.37129,                   0,             0.99752,             0.98836,             0.99491,             0.76896,             0.04874,              0.3178,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.050603,             0.36472,                   0,             0.99758,             0.98781,             0.99489,              0.7707,             0.04861,             0.31493,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.050245,             0.35912,                   0,             0.99773,             0.98746,             0.99489,             0.76981,            0.048674,             0.31618,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.051391,              0.3656,                   0,             0.99779,             0.98804,             0.99491,             0.77116,            0.048647,              0.3158,                   0,             0.00076,             0.00076,             0.00076
                 142,             0.05091,             0.36712,                   0,             0.99814,             0.98801,              0.9949,             0.77026,            0.048648,             0.31504,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.050189,             0.35421,                   0,              0.9979,             0.98807,             0.99491,             0.77111,            0.048632,             0.31571,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.050237,             0.36574,                   0,             0.99791,             0.98889,             0.99492,             0.77199,            0.048588,             0.31445,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.051578,             0.37547,                   0,             0.99803,             0.98811,             0.99492,             0.77137,              0.0486,             0.31484,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.051168,              0.3789,                   0,             0.99788,             0.98776,             0.99491,             0.77228,            0.048557,             0.31453,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.051286,             0.36652,                   0,             0.99783,             0.98804,             0.99491,             0.77144,            0.048617,             0.31553,                   0,            0.000364,            0.000364,            0.000364
                 148,             0.04966,             0.35178,                   0,              0.9977,             0.98807,             0.99491,             0.77152,            0.048595,              0.3159,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.050724,             0.36263,                   0,             0.99775,             0.98798,             0.99491,             0.77126,            0.048584,             0.31536,                   0,            0.000232,            0.000232,            0.000232
